conversions,os,metric,share,scaledshare,impressions,oscode,cuberootcampaignId
48,Android,620 940,38,100,620 940,1,12721
9,iOS,321 000,19,51,321 000,6,12721
12,Android 4.4,286 041,17,46,286 041,5,12721
21,Android 4.3,243 339,14,39,243 339,4,12721
0,Windows 8,50 619,3,8,50 619,15,12721
0,Macintosh,33 600,2,5,33 600,7,12721
0,Windows Vista,25 200,1,4,25 200,19,12721
0,iOS 7.1,12 867,0,2,12 867,10,12721
0,Android 4.1,8 934,0,1,8 934,2,12721
3,iOS 8,7 599,0,1,7 599,14,12721
0,iOS 8.1,6 288,0,1,6 288,11,12721
0,Android 2.0,3,0,0,3,25,12721
0,Android 2.2,987,0,0,987,23,12721
0,Android 2.3,78,0,0,78,17,12721
0,Android 4.0,363,0,0,363,18,12721
0,Android 4.2,4 491,0,0,4 491,3,12721
0,Firefox OS,9,0,0,9,28,12721
0,iOS 3.2,6,0,0,6,24,12721
0,iOS 4.3,3,0,0,3,29,12721
0,iOS 6.0,57,0,0,57,22,12721
0,iOS 6.1,465,0,0,465,21,12721
0,iOS 7.0,2 205,0,0,2 205,9,12721
0,iOS 8.0,1 068,0,0,1 068,20,12721
0,iOS 8.2,2 073,0,0,2 073,12,12721
0,iOS 8.3,4 887,0,0,4 887,13,12721
0,RIM OS 10.2,9,0,0,9,26,12721
0,RIM OS 10.3,3,0,0,3,27,12721
0,RIM OS 7.1,3,0,0,3,16,12721
0,Symbian OS 5.0,6,0,0,6,8,12721
